,State,Year,Unemployment Rate,Crime Rate
617,IA,2008,0.0001401473078761255,0.1817452136596998
618,IA,2009,0.00021304211371820994,0.17367852716353444
619,IA,2010,0.00019726562371934713,0.16537265400783294
620,IA,2011,0.00018113003602692734,0.1702622338653117
621,IA,2012,0.00016448571871771384,0.16608569842528825
622,IA,2013,0.0001538640143502932,0.15955872913110167
623,IA,2014,0.0001365248786177323,0.15206335372302252
624,KS,1976,0.00018216450216450216,0.4137186147186147
625,KS,1977,0.00016840068787618228,0.39241616509028365
626,KS,1978,0.00013309199318568994,0.38706132879046
627,KS,1979,0.00013541578725200507,0.41332207682566485
628,KS,1980,0.0001889770734713135,0.4568403967584274
629,KS,1981,0.00018093238135237293,0.45395212095758086
630,KS,1982,0.0002602574750830565,0.41129568106312286
631,KS,1983,0.0002422680412371134,0.3735876288659794
632,KS,1984,0.00020098441345365057,0.355980311730927
633,KS,1985,0.00020783673469387752,0.3571469387755101
634,KS,1986,0.0002160503860219423,0.3919219829337667
635,KS,1987,0.00019588045234248788,0.39611066235864295
636,KS,1988,0.00018262967430639324,0.39243264977885
637,KS,1989,0.00016613609231993633,0.3965698368483883
638,KS,1990,0.0001732339780769414,0.4192084676381008
639,KS,1991,0.00017667334669338678,0.4436352705410821
640,KS,1992,0.00017768529528339278,0.4217201743955608
641,KS,1993,0.00019624654286843143,0.39314895298301067
642,KS,1994,0.00019154267815191858,0.37955755677368835
643,KS,1995,0.00017153996101364522,0.3810487329434698
644,KS,1996,0.0001652410575427683,0.3640590979782271
645,KS,1997,0.00014516377649325624,0.397102119460501
646,KS,1998,0.00013408139977177634,0.3706390262457208
647,KS,1999,0.000123094799951169,0.3344772446056068
648,KS,2000,0.00013327540583346788,0.3279847107109088
649,KS,2001,0.00015606235832909282,0.31896747929870006
650,KS,2002,0.0001855984045838713,0.30188412066071996
651,KS,2003,0.0002021443151865871,0.32354100468807456
652,KS,2004,0.00019936371880277884,0.3214291854583737
653,KS,2005,0.00018284881732293323,0.3053229564961727
654,KS,2006,0.00015857022692944295,0.30423921203295856
655,KS,2007,0.00015371054075346625,0.3002596904823744
656,KS,2008,0.00016416060045665196,0.27111123165416073
657,KS,2009,0.00024329959375566518,0.25773508583778537
658,KS,2010,0.00024685718762580255,0.24395072229685613
659,KS,2011,0.00022617167168457485,0.23998862870707982
660,KS,2012,0.00019869009405288282,0.24348114194298323
661,KS,2013,0.0001827473642007859,0.2277297369536097
662,KS,2014,0.00015581843244246514,0.2119819381471415
663,KY,1976,0.00015752625437572928,0.1923512252042007
664,KY,1977,0.00014025448235974552,0.17428282244071716
665,KY,1978,0.00014745568896512294,0.1728444825614637
666,KY,1979,0.0001566487099518004,0.18054720725829318
667,KY,1980,0.00021809819581549146,0.18859095438968618
668,KY,1981,0.00023559136847855775,0.19292816170445232
669,KY,1982,0.0002940550859012817,0.1946250340878102
670,KY,1983,0.0003069466882067852,0.18496499730748517
671,KY,1984,0.0002489121676067687,0.1589336556540424
672,KY,1985,0.00024712828770799783,0.1581964573268921
673,KY,1986,0.0002521459227467811,0.16589324034334765
674,KY,1987,0.00022739468741615241,0.17547893748323046
675,KY,1988,0.00020491803278688527,0.1684923407686106
676,KY,1989,0.00017083445130131473,0.17800643949557285
677,KY,1990,0.00016191372416218396,0.17906295722243204
678,KY,1991,0.000196148666846216,0.18089415566927014
679,KY,1992,0.0001833022636484687,0.17702529960053262
680,KY,1993,0.00016450250725785168,0.1720612298759567
681,KY,1994,0.00014089365037888685,0.17440553958714397
682,KY,1995,0.00014033678756476684,0.1736658031088083
683,KY,1996,0.00014075695159629248,0.16304582904222453
684,KY,1997,0.00013669396110542475,0.16003070624360285
685,KY,1998,0.0001170731707317073,0.1583104674796748
686,KY,1999,0.00011361269432504591,0.1491305472975958
687,KY,2000,0.00010329635365108693,0.1464606215743651
688,KY,2001,0.00012699025957428403,0.14238785926913383
689,KY,2002,0.0001391747611509743,0.1431138078869936
690,KY,2003,0.00014873042495135605,0.13397151029250964
691,KY,2004,0.00013037699473783963,0.1344959420160388
692,KY,2005,0.00014099095817292204,0.1341127659248125
693,KY,2006,0.00013551830043884156,0.13655251904745375
694,KY,2007,0.00012731423085465102,0.13376010320940313
695,KY,2008,0.00015009679697464072,0.1395562915691182
696,KY,2009,0.00023991026660636844,0.12886078783749982
697,KY,2010,0.00023481657140661982,0.1288730759843698
698,KY,2011,0.0002152599126044755,0.13582213485621328
699,KY,2012,0.00018626718998659733,0.1278823123799869
700,KY,2013,0.00018201725027121887,0.11714746602121155
701,KY,2014,0.00014632520493572274,0.11112604019932672
702,LA,1976,0.00017422546211923979,0.22707628221817236
703,LA,1977,0.0001804386636062229,0.22942616679418518
704,LA,1978,0.00017145738779626826,0.24167170953101358
705,LA,1979,0.00016311475409836067,0.26620466964729256
706,LA,1980,0.00016311302518226987,0.2597330851792886
707,LA,1981,0.0001949361207897793,0.2447224157955865
708,LA,1982,0.00023574048601558917,0.2435213204951857
709,LA,1983,0.0002600721045515998,0.2265254619197837
710,LA,1984,0.00022561631555356344,0.22906992380098612
711,LA,1985,0.0002579334969872796,0.2483173398794912
712,LA,1986,0.00028344812263941344,0.2700755387691624
713,LA,1987,0.0002719793768213405,0.2633131584846447
714,LA,1988,0.00024529411764705883,0.2606651583710407
715,LA,1989,0.00018181195801004107,0.28486079415791876
716,LA,1990,0.00014673079661884093,0.30742376787718784
717,LA,1991,0.00017109595484477892,0.30218720602069615
718,LA,1992,0.00018738045253090737,0.3054093771868439
719,LA,1993,0.00017753201396973224,0.3188149010477299
720,LA,1994,0.00018192352259559675,0.30920509849362693
721,LA,1995,0.00016103178258866882,0.30750575771533856
722,LA,1996,0.00015187313261319236,0.3143553206159504
723,LA,1997,0.00013825827205882354,0.29637867647058824
724,LA,1998,0.00013007553215838865,0.2791622796978714
725,LA,1999,0.00011589568701988891,0.262886733523405
726,LA,2000,0.00011859540082560299,0.2426842301234108
727,LA,2001,0.00012844580133000236,0.23855977852382626
728,LA,2002,0.0001375722935924107,0.22811130532381096
729,LA,2003,0.0001428010321196618,0.22019665462378707
730,LA,2004,0.00013147135865941372,0.22451535885024138
731,LA,2005,0.0001580758102744174,0.1904941083758881
732,LA,2006,0.00010418007690714608,0.22398599924249632
733,LA,2007,9.918000635422869e-05,0.2303687409216986
734,LA,2008,0.0001110910593008609,0.20641398967442612
